ID,Title,Author,ISBN-10,ISBN-13,ASIN,Publisher,Year Published,Page Count,Category,Format,Ownership Status,Date Added,Is Favorite,Book Source,Reading Status,Start Date,End Date,Rating
iL34DwAAQBAJ,"Structure and Interpretation of Computer Programs, second edition",Harold Abelson,,9780262510875,,MIT Press,1996,685,Computers,Paperback,Not Owned,"Jan 21, 2023",No,googleBooks,Wishlist,,,0/5
620pAgAAQBAJ,The Hard Thing About Hard Things,Ben Horowitz,,9780062273215,,Harper Collins,2014,304,"Business & Economics, Self-Help",Paperback,Not Owned,"Jan 21, 2023",No,googleBooks,Wishlist,,,0/5
7EI7EAAAQBAJ,Build,Tony Fadell,,9780063046078,,HarperCollins,2022,416,Business & Economics,Paperback,Not Owned,"Jan 21, 2023",No,googleBooks,Wishlist,,,0/5
hWRXYY3HRFoC,A Secular Age,Charles Taylor,,9780674026766,,Harvard University Press,2007,894,Philosophy,Paperback,Not Owned,"Dec 28, 2022",No,googleBooks,Reading,"Aug 10, 2025","Dec 28, 2022",5/5
YBdiQgAACAAJ,The Eyes of the Heart,Frederick Buechner,,9780062516381,,HarperOne,1999,192,Religion,Paperback,Not Owned,"Sep 7, 2022",No,googleBooks,Finished,,"Dec 26, 2022",3/5
wcd8DgAAQBAJ,Unbroken (The Young Adult Adaptation),Laura Hillenbrand,,9780385742528,,Ember,2017,322,Young Adult Nonfiction,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,4/5
53305257,The Life and Times of Prince Albert,Patrick Allitt,,,,Audible Original,2020,5,,Paperback,Not Owned,"Dec 12, 2022",No,manual,Finished,,"Oct 31, 2022",0/5
M5df9T6QJjMC,Surprised by Hope,N. T. Wright,,9780061551826,,Zondervan,2008,356,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,0/5
slTWCwAAQBAJ,The Ideal Team Player,Patrick M. Lencioni,,9781119209591,,John Wiley & Sons,2016,240,Business & Economics,Paperback,Not Owned,"Dec 12, 2022",No,googleBooks,Finished,,"Dec 12, 2022",0/5
q13HAgAAQBAJ,Death by Meeting,Patrick M. Lencioni,,9780787968052,,John Wiley & Sons,2004,272,Business & Economics,Paperback,Not Owned,"Nov 26, 2022",No,googleBooks,Finished,,"Nov 23, 2022",0/5
dsN3CgAAQBAJ,The Five Dysfunctions of a Team,Patrick M. Lencioni,,9780787960759,,John Wiley & Sons,2002,269,Business & Economics,Paperback,Not Owned,"Nov 24, 2022",No,googleBooks,Finished,,"Nov 21, 2022",0/5
naCMEAAAQBAJ,The Odyssey,Homer,,9780143039952,,National Geographic Books,2006,0,Poetry,Paperback,Not Owned,"Oct 19, 2022",No,googleBooks,Finished,,"Oct 19, 2022",0/5
NdMnAQAAIAAJ,The Old Man and the Boy,Robert Chester Ruark,3347114,,,Henry Holt,1957,328,American fiction,Paperback,Not Owned,"Sep 22, 2022",No,googleBooks,Finished,,"Sep 22, 2022",4/5
sB2QEAAAQBAJ,What Are People For?,Wendell Berry,,9781582434872,,National Geographic Books,2010,0,Nature,Paperback,Not Owned,"Sep 8, 2022",No,googleBooks,Wishlist,,,0/5
_vV6vwEACAAJ,Renovation of the Heart,Dallas Willard,9781576832967,,,NavPress Publishing Group,2002,0,Spiritual formation,Paperback,Not Owned,"Aug 5, 2022",No,googleBooks,Finished,,"Sep 8, 2022",4/5
wODaCwAAQBAJ,Every Good Endeavor,Timothy Keller,,9780525952701,,Viking,2012,290,Religion,Paperback,Not Owned,"Sep 7, 2022",No,googleBooks,Reading,"Feb 18, 2024",,0/5
W9XgUStQgv4C,Keeping the Sabbath Wholly,Marva J. Dawn,,9780802804570,,Wm. B. Eerdmans Publishing,1989,242,Religion,Paperback,Owned,"Sep 7, 2022",No,googleBooks,Finished,"May 5, 2025","Sep 1, 2025",0/5
2bynDgAAQBAJ,A Failure of Nerve,Edwin H. Friedman,,9781596272798,,"Church Publishing, Inc.",2017,285,Business & Economics,Paperback,Not Owned,"Aug 3, 2022",No,googleBooks,Abandoned,"Feb 18, 2024",,0/5
48468,The Violent Bear It Away,Flannery O'Connor,,,,,0,0,,Paperback,Not Owned,"Jul 31, 2022",No,goodreads,Finished,,"Aug 4, 2022",5/5
FAqvzgEACAAJ,The Air We Breathe,Glen Scrivener,9781784987497,,,,2022,240,Religion,Paperback,Not Owned,"Jun 18, 2022",No,googleBooks,Finished,,"Jul 31, 2022",4/5
u2NDDwAAQBAJ,Measure What Matters,John Doerr,,9780525536239,,Penguin,2018,320,Business & Economics,Paperback,Not Owned,"Jul 30, 2022",No,googleBooks,Finished,,"Jul 29, 2022",0/5
D_u5AAAAIAAJ,The Big Three in Economics,Mark Skousen,36105122856250,,,Routledge,2007,272,Biography & Autobiography,Paperback,Not Owned,"Jul 19, 2022",No,googleBooks,Finished,,"Jul 18, 2022",3/5
7MAnMQEACAAJ,When the Word Leads Your Pastoral Search,Chris Brauns,,9780802449849,,Moody Pub,2011,192,Religion,Paperback,Not Owned,"Jun 18, 2022",No,googleBooks,Finished,,"Jul 16, 2022",5/5
oSg8zgEACAAJ,The Real Anthony Fauci,Robert F. Kennedy Jr.,9781510766808,,,Skyhorse,2021,480,"Health & Fitness, Science, Biography & Autobiography, Medical, Family & Relationships",Paperback,Not Owned,"Jul 9, 2022",No,googleBooks,Finished,,"Jul 9, 2022",3/5
0ob-ygEACAAJ,Lead,Paul David Tripp,,9781433567636,,,2020,0,Christian leadership,Paperback,Not Owned,"Jul 9, 2022",No,googleBooks,Finished,,"Jul 9, 2022",0/5
UOg7OgAACAAJ,The Rare Jewel of Christian Contentment,Jeremiah Burroughs,,9780851510910,,Banner of Truth,1964,228,Religion,Paperback,Not Owned,"Jun 23, 2022",No,googleBooks,Finished,,"Jul 9, 2022",4/5
tmmOvqV4MboC,The 48 Laws of Power,Robert Greene,,9780140280197,,Penguin,2000,484,Self-Help,Paperback,Not Owned,"Nov 22, 2021",No,googleBooks,Finished,,"Aug 1, 2021",4/5
28014505,German Men Sit Down To Pee & Other Insights Into German Culture,Niklas  Frank,,,,HJ Publishing,2015,115,,Paperback,Not Owned,"Jul 9, 2022",No,manual,Finished,,"Jul 9, 2022",3/5
xAJ4OwAACAAJ,The Talisman,Walter Scott,9781592247707,,,Borgo Press,2002,388,Fiction,Paperback,Not Owned,"Jul 8, 2022",No,googleBooks,Finished,,"Jun 30, 2022",4/5
vNjyAAAAMAAJ,"Cry, the Beloved Country",Alan Paton,30000094620832,,,Scribner Book Company,2003,328,Fiction,Paperback,Not Owned,"Jun 18, 2022",No,googleBooks,Finished,,"Jun 23, 2022",5/5
34608241,Awaiting the King: Reforming Public Theology,James K.A. Smith,,,,Baker Academic,2017,258,,Paperback,Not Owned,"Jun 18, 2022",No,manual,Reading,"Feb 18, 2024",,0/5
377qgxL6RPoC,Preaching and Preachers,D. Martyn Lloyd-Jones,9780310278702,,,Zondervan,1972,346,Religion,Paperback,Not Owned,"Jun 18, 2022",No,googleBooks,Reading,"Feb 18, 2024",,0/5
3QOZBAAAQBAJ,How to Read a Book,Mortimer J. Adler,,9781476790152,,Simon and Schuster,2014,448,"Language Arts & Disciplines, Literary Criticism",Paperback,Not Owned,"Feb 22, 2022",No,googleBooks,Wishlist,,,0/5
rhyQEAAAQBAJ,Jayber Crow,Wendell Berry,,9781582431604,,National Geographic Books,2001,0,Fiction,Paperback,Not Owned,"Nov 22, 2021",No,googleBooks,Finished,,"Sep 1, 2021",5/5
ot2bEAAAQBAJ,The Common Rule,Justin Whitmel Earley,9780830845606,,,InterVarsity Press,2019,0,Religion,Paperback,Not Owned,"Nov 22, 2021",No,googleBooks,Finished,,"Oct 1, 2021",4/5
RMd3GpIFxcUC,Snow Crash,Neal Stephenson,9780553898194,,,Random House Worlds,2003,576,Science Fiction,Paperback,Not Owned,"Nov 22, 2021",No,googleBooks,Finished,,"Nov 1, 2021",3/5
U5VCAwAAQBAJ,Software Estimation,Steve McConnell,,9780735637030,,Microsoft Press,2006,352,Computers,Paperback,Not Owned,"Aug 26, 2021",No,googleBooks,Reading,"Feb 18, 2024",,0/5
HIE9PgAACAAJ,The Everlasting Man,G. K. Chesterton,,9781573832977,,Regent College Pub,2006,260,Religion,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,"Nov 22, 2021",0/5
mGxsoCQjreoC,Pensées,Blaise Pascal,,9780140446456,,Penguin Classics,1995,370,Philosophy,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,0/5
Rw0xzgEACAAJ,The 21 Irrefutable Laws of Leadership,John C. Maxwell,,9780785274315,,,2007,0,Industrial management,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,"May 28, 2021",0/5
SaFKMcx1hGYC,Art in Action,Nicholas Wolterstorff,,9780802818164,,Wm. B. Eerdmans Publishing,1980,260,Art,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,0/5
TEs0AAAAMAAJ,The Technological Society,Jacques Ellul,39015003296053,,,Vintage,1964,516,Political Science,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,0/5
SoQoAQAAIAAJ,Science and Creation,Stanley L. Jaki,36105040529435,,,,1986,400,Cosmology,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,0/5
4pNTPwAACAAJ,The Coming of the Kingdom,Herman N. Ridderbos,,9780875524085,,P & R Publishing,1962,0,Religion,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,0/5
0fZZQHOfdAAC,The Conscious Mind,David J. Chalmers,,9780195117899,,Oxford Paperbacks,1997,436,Medical,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,0/5
Vl2NEAAAQBAJ,The Culture of Narcissism,Christopher Lasch,,9780393356175,,National Geographic Books,2018,0,Social Science,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Wishlist,,,0/5
WQEoAQAACAAJ,Faithful Feelings,Matthew A. Elliott,,9780825425424,,Kregel Academic & Professional,2006,0,Religion,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Wishlist,,,0/5
R9txtAn3T9AC,Resident Aliens,Stanley Hauerwas,,9780687361595,,Abingdon Press,1989,61,Religion,Paperback,Not Owned,"Jun 28, 2012",No,googleBooks,Finished,,,4/5
Cz51I6-b1nYC,Night Thoughts of a Classical Physicist,Russell McCormmach,9780674624610,,,Harvard University Press,1991,234,Fiction,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Reading,"Feb 18, 2024",,0/5
XGUF8rLX0sQC,Sticky Teams,Larry Osborne,,9780310324645,,Harper Collins,2010,226,Religion,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,3/5
SHvzzuCnuv8C,"Thinking, Fast and Slow",Daniel Kahneman,,9780374275631,,Macmillan,2011,511,Business & Economics,Paperback,Not Owned,"May 28, 2021",No,googleBooks,Finished,,,5/5
VXMszQEACAAJ,The Rise and Triumph of the Modern Self,Carl R. Trueman,,9781433556333,,,2020,0,"Civilization, Modern",Paperback,Not Owned,"Jan 19, 2021",No,googleBooks,Finished,,"May 27, 2021",5/5
v6MwDwAAQBAJ,Alternative Modernity,Andrew Feenberg,,9780520089860,,Univ of California Press,1995,263,Philosophy,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
Aa__0_24WyoC,The Sacred Canopy,Peter L. Berger,,9780385073059,,Anchor,1990,244,Social Science,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
W2W2AAAAIAAJ,Invitation to Sociology,Peter L. Berger,36105002536022,,,Anchor,1963,204,Social Science,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
NqEhEAAAQBAJ,The Social Construction of Reality,Peter L. Berger,,9780385058988,,Anchor,1967,242,Social Science,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
978500,Modern Art & Death of a Culture,Hans R. Rookmaaker,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
V8SdfTzr8KcC,Bold Love,Dan B. Allender,,9780891097037,,Navpress Publishing Group,1992,320,Religion,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
116609,Drawing on the Right Side of the Brain,Betty Edwards,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
1464270,Philosophy of Technology: An Introduction (Paragon Issues in Philosophy),Don Ihde,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
608820,The Ecstasy of Communication,Jean Baudrillard,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
290953,The Transparency of Evil: Essays in Extreme Phenomena,Jean Baudrillard,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
201796,Jean Baudrillard: From Marxism to Postmodernism and Beyond (Key Contemporary Thinkers),Douglas Kellner,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
567710,Bobos in Paradise: The New Upper Class and How They Got There,David  Brooks,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
pmVHAAAAMAAJ,The Second Self,Sherry Turkle,39015016210471,,,New York : Simon and Schuster,1984,378,Computers,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
22613,"Simulacra and Simulation (The Body, In Theory: Histories of Cultural Materialism)",Jean Baudrillard,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
C4xhAAAAMAAJ,McLuhan and Baudrillard,Gary Genosko,39015048945979,,,London : Routledge,1999,168,France,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
ugnjngEACAAJ,The Electronic Word,Richard A. Lanham,,9780226468853,,,1994,285,Computers,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
qS3pJL_BcdkC,Technology and the Character of Contemporary Life,Albert Borgmann,,9780226066295,,University of Chicago Press,1984,310,Philosophy,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
40490,The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur      Bennett,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
1001606,eXtreme Programming eXplained : embrace change,Kent Beck,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
67839,Planning Extreme Programming,Kent Beck,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,3/5
JHtxQgAACAAJ,Extreme Programming Applied,Ken Auer,,9780201616408,,Addison-Wesley Professional,2002,0,Computer programming,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,3/5
547281,Reforming Marriage: Gospel Living for Couples,Douglas Wilson,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
639937,Rediscovering the Triune God: The Trinity in Contemporary Theology,Stanley J. Grenz,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
69099,Christian Theology,Millard J. Erickson,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
TCRTCgAAQBAJ,The Person of Christ,Donald Macleod,,9780830815371,,InterVarsity Press,1998,0,Religion,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
1743024,Parenting Without Perfection: Being a Kingdom Influence in a Toxic World,David J. Seel,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
20526547,Learning Evangelism from Jesus,Jerram Barrs,,,B002SVQE8Q,,0,0,,Paperback,Owned,"May 27, 2021",No,goodreads,Finished,,,3/5
13000611,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy J. Keller,,,,Dutton Adult,2011,286,,Paperback,Not Owned,"May 27, 2021",No,manual,Finished,,,4/5
RcasMAMq48IC,The Screwtape Letters (Enhanced Special Illustrated Edition),C. S. Lewis,9780062093592,,B005CRQ3P2,Harper Collins,2011,262,Religion,Paperback,Owned,"May 27, 2021",No,googleBooks,Finished,,,5/5
277494,The Doctrine of God (A Theology of Lordship),John M. Frame,,9780875522630,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
5883777,The Holy Bible: English Standard Version,Anonymous,,,,Good News Publishers/Crossway Books,2007,1243,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,5/5
8130077,The Screwtape Letters,C.S. Lewis,,,,HarperCollins e-books,2009,222,,Paperback,Not Owned,"May 27, 2021",No,manual,Finished,,,5/5
17455887,Seven Men: And the Secret of Their Greatness,Eric Metaxas,,,B00A0VPH5C,Thomas Nelson,2013,256,,Paperback,Owned,"May 27, 2021",No,manual,Finished,,,3/5
180998,"Robert's Rules in Plain English: A Readable, Authoritative, Easy-to-Use Guide to Running Meetings",Doris P. Zimmerman,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
227274,The Memory of Old Jack,Wendell Berry,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
1503431,"Man of the Family (Little Britches, #2)",Ralph Moody,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
12975375,The Advantage: Why Organizational Health Trumps Everything Else In Business,Patrick Lencioni,9780470941522,,,,0,216,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
5944774,"Desiring the Kingdom: Worship, Worldview, and Cultural Formation (Cultural Liturgies)",James K.A. Smith,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,5/5
18997541,Defeating Darwinism by Opening Minds,Phillip E. Johnson,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,3/5
13624260,The Dangerous Book for Boys,Conn Iggulden,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
BYEvLgEACAAJ,Imagining the Kingdom,James K. A. Smith,,9780801035784,,Baker Academic,2013,0,Religion,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,5/5
26568656,You Are What You Love: The Spiritual Power of Habit,James K.A. Smith,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,5/5
17250,The Crucible: A Play in Four Acts,Arthur Miller,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,3/5
608987,A Christmas Carol,Charles Dickens,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Wishlist,,,0/5
2151690,"Fierce Conversations: Achieving Success at Work & in Life, One Conversation at a Time",Susan Scott,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Wishlist,,,0/5
48582033,The Picture of Dorian Gray,Oscar Wilde,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
2619,Great Expectations,Charles Dickens,,,,,0,0,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,9780307887436,,B004J4WKUQ,Crown Publishers,2011,374,,Paperback,Owned,"May 27, 2021",No,goodreads,Finished,,,4/5
7624,Lord of the Flies,William Golding,,9780140283334,,Penguin Books ,1999,182,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
kYZHCgAAQBAJ,Fluent Python,Luciano Ramalho,,9781491946268,,"""O'Reilly Media, Inc.""",2015,792,Computers,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
v6vlmAEACAAJ,The Universe Next Door,James W. Sire,,9780830838509,,IVP Academic,2009,0,Religion,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Finished,,,0/5
189460,The Aeneid of Virgil,Virgil,,9780553210415,,Bantam Classic,2004,395,,Paperback,Not Owned,"May 27, 2021",No,goodreads,Finished,,,0/5
H6x-DwAAQBAJ,The Phoenix Project,Gene Kim,,9781942788300,,IT Revolution,2018,432,Business & Economics,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Wishlist,,,0/5
YekzpS1KkfkC,Dynamics of Spiritual Life,Richard F. Lovelace,,9780877846260,,InterVarsity Press,1979,455,Religion,Paperback,Not Owned,"May 27, 2021",No,googleBooks,Reading,"Jul 6, 2025",,5/5
